"langname","area","active","alert","attentive","enthusiastic","excited","interested","proud","happy","joyful","delighted","cheerful","lively","energetic","strong","confident","bold","daring","fearless","afraid","scared","nervous","jittery","irritable","hostile","guilty","ashamed","upset","distressed","frightened","shaky","angry","disgusted","sad","lonely","dictsize"
"Standard Malay","Eurasia",5,0,0,0,27,0,7,5,0,0,0,4,0,79,0,4,7,0,4,0,21,0,0,11,11,7,5,0,15,0,54,0,26,9,22145
"Standard Malay","Eurasia",5,0,0,0,18,0,3,0,0,0,0,5,0,58,0,9,6,0,3,0,7,0,0,4,7,0,18,0,0,0,15,0,16,12,15391
"Gujarati","Eurasia",27,0,13,0,15,0,17,13,0,0,18,23,0,94,6,31,8,0,0,0,0,0,6,10,12,4,5,0,4,0,13,0,13,0,15009
"Amharic","Africa",10,0,0,0,2,0,15,7,0,0,5,10,0,33,0,3,9,0,2,2,2,0,0,0,3,0,0,0,10,2,9,8,8,0,5830
"Masbatenyo","Papunesia",13,7,4,0,0,5,12,31,5,3,0,2,3,46,0,11,4,5,11,0,3,0,13,0,0,0,9,3,3,0,22,0,7,11,10328
"Amharic","Africa",22,49,19,0,7,0,83,12,0,0,0,40,0,140,0,15,0,0,58,0,12,0,7,0,9,8,93,6,24,8,89,6,41,0,29741
"Mandarin Chinese","Eurasia",10,5,5,8,6,0,10,19,9,3,5,10,0,44,0,7,3,5,12,3,9,0,0,4,6,15,0,8,13,0,26,3,15,19,9906
"Latin","Eurasia",29,0,13,0,0,0,34,26,14,13,9,28,0,110,23,33,7,0,58,10,0,0,0,12,36,17,0,0,0,0,59,0,34,0,40320
"Standard Arabic","Eurasia",46,7,7,0,53,0,79,12,13,26,15,17,22,179,0,23,23,0,18,30,7,0,8,14,10,19,12,58,61,0,75,12,38,0,23241
"Mandarin Chinese","Eurasia",9,4,11,0,9,0,16,46,8,12,7,9,10,61,0,14,6,10,30,11,10,0,6,3,3,33,10,24,17,0,41,0,31,22,16868
"Standard Arabic","Eurasia",31,4,0,0,38,0,65,9,7,21,10,13,20,143,0,17,14,0,15,24,6,0,5,12,6,17,8,48,48,0,60,7,30,0,18299
"Tibetan","Eurasia",10,0,11,0,5,0,21,52,16,6,8,0,0,53,0,0,0,10,24,0,9,0,0,18,9,8,0,0,0,0,33,0,18,0,24195
"Standard Arabic","Eurasia",30,0,21,0,9,0,27,69,13,9,30,9,0,79,0,31,10,0,8,0,0,0,0,14,13,12,0,8,17,0,23,6,29,0,21411
"Mandarin Chinese","Eurasia",27,0,10,0,13,0,41,57,9,7,16,24,0,129,0,30,15,10,25,0,10,0,7,11,17,25,11,12,12,0,41,0,18,0,30351
"Mandarin Chinese","Eurasia",9,0,6,0,5,0,15,11,10,17,9,6,6,52,0,11,6,0,21,0,8,0,0,0,6,21,4,9,16,0,29,0,16,12,13782
"Mandarin Chinese","Eurasia",47,0,14,0,30,0,30,11,0,0,9,30,0,151,13,25,0,0,0,0,23,0,0,13,23,0,13,0,8,0,31,0,32,0,30671
"Danish","Eurasia",2,0,0,0,0,0,10,8,0,2,0,7,0,32,4,33,0,0,9,0,0,0,0,2,11,3,0,0,0,0,13,0,16,0,9509
"Urdu","Eurasia",18,5,10,0,0,0,11,29,4,11,13,0,4,26,3,5,3,0,0,0,0,0,0,3,2,12,0,21,0,0,16,0,12,4,9587
"Telugu","Eurasia",23,0,5,0,12,12,26,28,0,5,5,14,6,59,6,20,13,0,14,0,0,0,0,0,20,0,0,5,7,0,40,5,28,0,19058
"Turkish","Eurasia",34,2,5,0,0,0,23,19,8,3,5,4,0,27,0,14,4,0,5,0,0,0,0,3,3,14,3,0,4,0,19,4,6,0,10431
"Turkish","Eurasia",33,0,5,0,0,0,23,19,8,3,5,4,0,27,0,13,4,0,4,0,0,0,0,0,3,13,3,0,4,0,19,4,6,0,10227
"Turkish","Eurasia",24,0,4,0,0,0,21,18,7,2,4,3,0,24,0,12,3,2,3,0,0,0,0,0,2,13,3,2,4,0,15,4,5,0,8442
"Welsh","Eurasia",7,2,6,0,0,0,8,0,0,0,7,3,0,14,5,31,3,3,6,0,2,0,0,0,8,5,0,2,0,0,9,0,23,0,7724
"Welsh","Eurasia",5,0,5,0,0,0,12,6,0,0,0,13,0,37,3,7,0,0,14,0,4,0,0,0,11,5,0,0,2,0,6,3,24,2,10742
"Welsh","Eurasia",7,0,5,0,0,0,17,8,0,0,0,16,0,44,3,10,0,0,13,0,3,0,0,0,12,7,0,0,0,0,7,3,33,0,12022
"Aromanian","Eurasia",2,2,0,4,2,2,9,8,0,0,3,2,0,20,2,7,3,0,5,7,4,0,2,0,3,3,8,4,4,4,13,5,20,0,6018
"Mindanao Visayan","Papunesia",79,15,9,8,16,12,15,18,0,0,27,39,17,136,13,35,13,0,15,0,9,0,0,8,15,8,12,0,13,7,40,0,67,8,23382
"Beijing Mandarin","Eurasia",5,0,0,0,2,0,4,11,0,0,2,0,2,21,2,5,0,0,6,0,2,0,2,3,4,0,4,0,3,2,5,0,5,2,5088
"Gujarati","Eurasia",15,0,4,0,6,3,9,10,4,0,7,16,0,53,4,21,3,0,4,0,4,0,3,7,10,0,4,0,0,0,0,0,5,3,10388
"Herero","Africa",15,4,5,0,9,2,6,16,0,0,7,7,3,65,0,8,3,2,3,0,2,0,2,6,14,13,13,4,13,7,32,9,17,5,9713
"Japanese","Eurasia",14,3,0,0,0,0,0,13,0,0,6,5,4,24,0,7,6,0,3,0,3,0,0,5,4,3,0,0,0,0,11,0,8,0,11588
"Japanese","Eurasia",12,3,0,0,0,0,0,6,0,0,5,4,3,16,0,11,4,0,3,0,3,0,0,4,6,3,3,0,0,0,8,0,4,2,8759
"Maharashtrian Konkani","Eurasia",21,0,7,0,18,0,21,9,8,0,5,6,4,26,0,2,0,0,8,0,2,0,0,2,17,8,6,0,0,0,15,0,10,0,6509
"Latin","Eurasia",3,0,7,0,3,0,0,3,2,0,3,6,2,20,3,10,5,2,3,0,0,0,3,11,14,0,3,2,0,0,13,0,10,0,6365
"Latin","Eurasia",27,0,4,0,6,0,94,22,17,0,4,2,0,26,0,61,3,19,3,0,2,0,0,17,8,5,0,0,5,0,39,0,53,3,11607
"Standard Malay","Eurasia",4,0,6,0,4,0,8,4,0,0,0,0,3,19,6,5,0,0,3,0,8,0,0,5,7,0,12,0,8,0,34,0,9,3,9794
"Standard Malay","Eurasia",4,0,6,0,4,0,8,4,0,0,0,0,0,19,6,5,0,0,3,0,8,0,0,5,7,0,12,0,8,2,34,0,9,3,9851
"Polish","Eurasia",9,4,0,0,0,0,7,4,2,0,0,7,2,15,4,14,4,0,3,0,0,0,0,0,6,3,0,0,13,0,22,6,28,0,7236
"Serbian-Croatian-Bosnian","Eurasia",5,8,0,0,0,2,7,5,0,0,0,0,0,15,0,4,2,0,5,0,9,0,0,3,4,0,9,0,2,0,6,0,75,2,7561
"Tagalog","Papunesia",4,2,2,0,0,2,11,14,2,0,2,2,2,34,0,2,0,0,25,0,2,0,0,0,3,9,3,0,2,2,20,4,13,4,5607
"Telugu","Eurasia",26,0,13,0,15,0,19,15,5,0,10,14,0,83,13,29,13,7,6,0,0,0,9,10,20,0,6,7,0,0,15,0,31,0,16930
"Telugu","Eurasia",21,0,13,0,17,0,17,14,7,0,10,16,5,84,12,28,15,5,0,0,0,0,8,8,23,0,6,7,0,0,18,0,28,5,15492
"Welsh","Eurasia",22,8,3,0,0,4,7,7,0,0,7,15,6,13,4,16,10,4,6,0,8,0,3,5,4,0,0,0,0,0,12,0,23,0,9753
"Welsh","Eurasia",22,9,0,0,0,0,9,11,4,0,11,15,10,21,0,19,15,8,9,4,9,0,0,6,5,0,0,0,0,0,21,0,26,0,11668
"Mandarin Chinese","Eurasia",7,5,6,0,5,0,3,24,5,0,7,6,5,39,0,6,6,0,9,0,7,0,0,0,2,15,6,9,5,0,9,0,25,15,9070
"Latin","Eurasia",22,0,6,0,6,0,17,14,15,0,11,40,0,67,10,18,7,0,33,0,0,0,0,10,15,8,0,0,0,0,24,0,20,0,22897
"German","Eurasia",21,0,0,0,0,0,15,21,5,0,13,6,4,38,5,11,0,0,15,0,9,0,9,6,9,0,0,0,0,0,26,0,12,0,12337
"German","Eurasia",43,0,13,0,0,0,23,25,10,0,18,18,0,88,11,34,12,0,37,0,11,0,13,9,27,7,0,0,0,0,58,0,35,0,26135
"Standard Gujarati","Eurasia",5,0,2,0,0,0,8,13,2,0,0,6,0,15,0,8,2,2,0,0,0,0,0,3,5,0,0,0,0,0,4,0,18,0,6432
"German","Eurasia",14,0,4,0,0,0,12,14,7,0,6,7,0,27,5,24,5,0,13,0,4,0,11,4,13,4,0,0,0,0,26,0,27,0,10948
"Russian","Eurasia",5,7,14,0,11,10,45,36,0,0,7,10,0,52,0,42,17,6,16,0,0,0,0,6,22,18,14,0,19,0,62,5,39,0,21002
"French","Eurasia",20,0,11,0,0,0,44,31,0,0,10,36,0,72,16,56,12,0,12,0,12,0,0,11,27,10,13,0,0,0,33,0,40,0,29649
"French","Eurasia",0,5,0,2,5,0,14,10,3,0,4,0,0,9,4,10,0,0,3,2,0,0,3,3,4,0,9,0,5,0,12,2,11,4,6258
"German","Eurasia",13,0,0,0,0,0,4,8,0,0,6,3,3,9,5,9,0,0,0,0,7,0,5,6,3,4,5,0,0,3,18,0,7,0,6713
"Mandarin Chinese","Eurasia",6,0,7,0,8,0,7,23,12,5,7,0,0,51,0,12,2,0,12,0,5,0,0,0,2,12,6,23,11,0,19,2,10,11,8775
"Mandarin Chinese","Eurasia",7,0,8,0,8,0,9,23,11,5,7,0,0,53,0,11,3,0,12,0,5,0,0,2,0,12,6,23,10,0,19,0,8,11,9037
"Mandarin Chinese","Eurasia",30,8,21,0,22,0,40,107,30,12,27,15,13,147,0,50,19,8,71,0,15,0,0,0,0,60,24,30,46,0,63,0,65,14,34025
"Xhosa","Africa",13,6,0,0,9,4,20,7,12,0,0,5,5,47,0,8,3,2,4,1,11,0,0,6,6,3,7,7,4,1,17,3,6,2,6880
"Japanese","Eurasia",29,0,0,0,10,5,12,18,0,7,0,8,0,40,6,21,7,4,20,0,0,0,7,7,11,9,7,5,8,0,19,0,15,8,14291
"French","Eurasia",16,0,8,0,0,0,17,28,0,0,0,19,0,103,10,16,6,0,5,0,0,0,0,5,8,4,0,0,0,0,13,0,21,0,20423
"Dutch","Eurasia",4,0,11,0,0,0,22,15,4,0,10,20,0,41,5,18,11,5,16,0,0,0,0,0,11,5,0,0,6,0,38,0,35,7,12852
"Spanish","Eurasia",13,0,8,0,0,7,24,10,0,0,10,29,0,72,7,31,9,0,0,0,6,0,9,7,0,9,0,0,5,0,21,0,27,0,19067
"French","Eurasia",10,7,7,0,9,8,21,10,0,0,7,17,0,23,10,30,7,0,0,0,6,0,11,11,8,0,15,7,0,0,15,0,21,0,14915
"French","Eurasia",82,0,34,0,54,17,81,107,0,25,24,75,0,163,0,88,18,0,73,0,31,0,0,26,56,27,30,16,25,0,65,0,80,19,57181
"Italian","Eurasia",33,0,15,0,0,8,78,39,6,6,16,29,0,104,0,49,5,0,25,0,15,0,0,6,12,18,8,0,19,0,117,9,38,6,26823
"Italian","Eurasia",9,0,3,0,0,0,36,13,4,2,7,7,0,11,2,14,0,0,5,0,0,0,0,3,3,4,0,0,2,0,29,0,4,0,8061
"Latin","Eurasia",12,0,4,0,3,0,0,9,5,0,8,16,4,27,0,14,5,0,11,0,0,0,4,13,12,0,3,0,0,0,12,0,13,4,9224
"Portuguese","Eurasia",36,0,26,0,0,0,117,43,0,0,17,41,0,151,10,74,11,0,27,0,15,0,9,8,32,20,0,0,13,0,112,19,98,0,37345
"Portuguese","Eurasia",36,0,18,0,0,8,114,42,0,0,16,41,0,152,0,71,11,8,26,0,15,0,11,8,31,19,0,0,14,0,110,18,97,0,36369
"Portuguese","Eurasia",60,0,23,0,32,0,126,89,0,13,24,55,0,211,22,85,24,12,49,0,20,0,0,15,55,32,0,0,0,0,144,0,82,0,54863
"Portuguese","Eurasia",3,0,1,0,0,1,4,6,0,0,0,1,0,9,0,5,0,0,1,0,0,0,0,0,5,0,0,0,0,0,2,0,8,0,5376
"Spanish","Eurasia",2,0,3,0,2,0,58,11,8,3,0,12,0,2,3,37,10,0,24,0,3,0,0,0,8,0,0,0,0,0,41,0,5,0,25041
"Mandarin Chinese","Eurasia",15,5,0,2,0,3,10,24,0,0,5,0,0,35,2,15,0,0,14,4,4,0,0,3,11,3,4,2,4,0,17,0,12,3,10661
"Mandarin Chinese","Eurasia",12,0,3,0,5,8,9,11,4,2,9,18,0,119,2,8,8,4,10,0,2,0,0,0,6,2,7,0,8,0,40,0,28,3,9766
"German","Eurasia",11,0,3,0,0,0,9,4,0,0,0,2,0,14,0,8,3,0,0,0,5,0,5,0,2,0,0,0,0,0,4,0,3,0,6202
"Russian","Eurasia",2,1,5,0,0,6,1,0,0,2,0,0,0,19,0,12,10,1,6,1,1,0,5,0,0,4,0,1,7,0,0,2,17,0,5313
"Spanish","Eurasia",13,0,6,0,0,5,16,5,0,0,5,22,0,50,5,21,6,0,0,0,7,0,5,5,4,7,0,0,5,0,16,0,21,0,16167
"Spanish","Eurasia",11,0,6,0,0,0,18,6,0,0,7,24,0,66,4,23,7,0,0,0,6,0,6,8,0,8,0,0,0,0,19,0,13,0,15576
"French","Eurasia",26,8,10,0,9,0,31,26,0,10,12,24,0,56,15,60,13,0,15,0,11,0,15,12,31,12,21,0,10,0,30,0,44,9,30858
"French","Eurasia",24,9,13,0,9,0,31,26,0,0,11,24,0,56,14,60,14,0,14,0,14,0,14,13,30,12,21,0,10,0,29,0,42,9,29957
"French","Eurasia",29,0,13,0,0,10,37,16,0,0,8,35,7,60,11,28,0,0,9,0,0,0,0,7,7,0,0,0,0,0,22,0,30,5,17866
"French","Eurasia",99,0,37,0,63,20,91,134,0,32,31,99,0,213,0,149,21,0,94,0,32,0,0,35,71,31,36,17,33,0,81,0,105,22,79119
"French","Eurasia",22,0,10,0,5,0,33,22,0,0,14,32,0,58,10,38,6,0,9,0,0,0,0,15,13,0,0,0,7,0,16,0,17,6,20533
"French","Eurasia",19,7,10,0,7,11,26,35,0,0,11,43,8,79,0,35,7,0,11,0,10,0,7,0,35,11,17,0,0,0,30,0,33,0,31126
"French","Eurasia",19,0,9,8,13,12,26,41,0,0,12,48,0,89,9,44,0,0,12,0,12,0,0,8,35,13,18,0,9,0,33,0,56,0,34243
"German","Eurasia",50,0,8,10,0,14,27,48,0,0,15,21,10,90,0,33,11,0,35,0,20,0,15,17,19,13,17,0,9,8,53,0,35,0,28613
"Japanese","Eurasia",3,0,2,0,12,0,8,4,3,0,4,10,0,34,0,16,3,3,12,0,4,0,2,3,4,5,3,5,2,0,4,0,8,9,7441
"Latin","Eurasia",4,0,8,0,0,0,19,19,3,2,0,13,0,16,5,97,4,0,41,0,0,0,0,0,15,0,0,0,0,0,31,0,12,3,15586
"Dutch","Eurasia",12,0,7,0,0,0,26,5,4,0,6,4,0,20,0,16,7,0,10,0,3,0,3,4,4,5,0,0,3,0,20,0,15,6,8075
"French","Eurasia",12,4,0,0,0,0,13,4,4,0,5,15,0,9,3,13,3,0,0,0,3,0,0,5,4,3,8,0,0,0,7,0,3,4,7520
"French","Eurasia",9,0,0,0,0,0,18,4,2,0,6,7,0,9,6,9,0,0,0,0,0,0,0,0,7,0,0,0,0,0,12,0,10,0,7464
"German","Eurasia",11,3,0,3,0,0,4,6,0,3,5,4,0,17,0,14,5,0,6,0,5,0,7,4,7,0,0,0,0,0,11,0,14,0,6719
"Italian","Eurasia",18,0,10,0,0,0,34,14,14,0,3,16,0,33,0,35,3,0,7,0,5,0,0,4,4,5,0,4,3,0,53,8,13,4,9589
"Japanese","Eurasia",14,0,0,3,18,0,8,13,8,5,12,11,0,52,0,22,9,4,18,0,0,0,3,4,7,22,5,8,3,0,27,3,14,13,13819
"Russian","Eurasia",6,6,6,0,0,0,19,4,0,0,2,2,2,18,1,9,2,0,1,0,2,0,0,0,0,0,1,0,2,0,5,0,10,0,5679
"Spanish","Eurasia",8,0,0,0,0,0,23,6,4,0,7,16,0,57,4,25,3,0,0,0,3,0,3,8,0,4,0,0,3,0,7,4,15,0,10570
"Swedish","Eurasia",8,0,3,0,0,0,11,5,3,0,3,6,3,13,0,22,8,0,0,0,4,0,0,0,9,4,0,2,0,0,23,0,14,3,7437
"Swedish","Eurasia",8,0,4,0,0,0,10,7,4,0,5,8,3,13,3,14,7,0,3,0,4,0,3,4,10,5,0,4,0,0,21,0,11,3,6993
"German","Eurasia",9,0,3,0,0,0,6,4,0,0,6,4,3,10,5,8,0,0,0,0,5,0,7,5,3,0,3,0,0,0,17,0,4,0,5618
"German","Eurasia",8,0,3,0,0,3,7,5,0,0,6,3,4,10,7,10,0,0,0,0,5,0,7,5,3,3,4,0,0,0,23,0,4,3,5890
"Italian","Eurasia",5,0,4,0,0,0,13,4,0,0,3,5,0,20,0,13,0,2,2,0,2,0,0,2,3,0,2,0,0,0,19,0,8,0,5002
"Spanish","Eurasia",6,0,3,0,0,2,7,5,3,0,3,10,3,12,4,7,3,0,0,0,0,0,2,5,0,7,0,0,0,0,8,0,7,0,5527
"French","Eurasia",17,0,0,0,0,0,20,7,0,0,6,12,0,13,6,12,0,0,0,0,0,0,0,4,8,0,0,0,0,0,13,0,10,3,8536
"French","Eurasia",18,0,4,0,0,0,20,11,0,0,5,11,0,10,6,12,0,0,3,0,0,0,0,3,6,0,0,0,0,0,13,0,13,0,9249
"French","Eurasia",17,0,3,0,0,0,21,9,0,0,6,11,0,13,9,12,0,0,3,0,0,0,0,5,7,0,0,0,0,0,12,0,14,0,8828
"Italian","Eurasia",11,0,3,0,0,0,39,17,7,0,6,9,0,36,0,18,0,0,5,0,3,0,0,4,3,4,0,5,3,0,41,0,11,3,9720
"Italian","Eurasia",10,0,4,0,0,0,41,15,7,0,6,12,0,36,0,16,0,0,4,0,0,0,0,4,3,0,0,3,4,0,46,0,8,2,10031
"Italian","Eurasia",10,0,7,0,0,0,37,18,6,0,7,9,0,33,0,15,0,0,5,0,3,0,0,3,6,3,0,3,4,0,44,0,12,0,9867
"Japanese","Eurasia",5,0,2,0,5,0,3,9,0,0,5,4,0,23,0,9,3,0,11,0,1,0,2,0,0,8,3,0,0,0,6,0,4,8,5323
"Portuguese","Eurasia",8,0,0,0,0,0,16,6,0,4,5,6,0,23,4,24,0,0,4,0,0,0,0,4,5,5,0,0,0,0,17,0,17,0,9666
"Spanish","Eurasia",8,0,0,0,0,0,22,7,4,0,5,18,0,46,6,18,4,0,0,0,0,0,4,5,0,0,0,0,0,0,4,4,13,0,12011
"Welsh","Eurasia",26,6,3,0,0,0,7,8,2,0,11,18,8,18,3,0,22,7,0,3,7,0,0,4,3,0,0,2,0,0,15,0,10,0,8973
"Mandarin Chinese","Eurasia",24,25,0,13,22,23,43,101,26,19,20,17,16,152,0,21,10,13,59,52,28,14,0,13,22,63,0,29,43,0,84,0,99,32,41135
"Spanish","Eurasia",2,2,0,0,0,0,7,6,0,0,2,0,0,10,0,4,0,0,2,0,0,0,9,0,6,0,0,0,0,0,4,0,7,0,10147
"Rotuman","Papunesia",2,0,0,9,2,0,5,8,0,0,0,5,3,44,0,2,0,2,9,0,3,0,4,0,7,7,4,0,0,4,16,0,2,0,7682
"French","Eurasia",14,0,6,0,3,0,8,7,0,0,5,7,0,28,0,9,2,0,6,0,0,0,0,0,8,2,0,4,0,0,2,0,5,0,14861
"Slovenian","Eurasia",14,0,4,0,0,4,8,10,0,0,5,5,0,9,0,8,5,0,6,0,9,0,3,0,3,4,7,0,0,0,16,3,9,2,6097
"Slovenian","Eurasia",15,5,5,0,0,6,7,12,0,0,4,6,6,12,0,8,4,4,7,0,7,3,4,0,9,4,12,0,0,3,18,0,12,4,7982
"Bulgarian","Eurasia",46,18,0,30,28,27,25,71,0,0,29,47,12,213,13,23,12,0,32,8,33,0,8,13,36,12,63,0,17,9,119,0,33,13,35172
"Hungarian","Eurasia",16,4,0,0,0,3,7,32,0,0,0,4,0,42,0,21,0,0,9,0,13,0,0,4,18,0,8,0,6,0,19,0,13,3,17031
"Hungarian","Eurasia",7,3,0,0,0,0,5,22,0,0,3,3,0,17,0,8,0,0,5,0,11,0,0,4,13,0,6,3,4,0,5,0,4,0,9167
"Vietnamese","Eurasia",15,5,0,0,0,6,5,14,0,0,3,8,0,48,6,17,0,0,15,0,9,0,0,4,15,4,8,0,10,0,16,0,6,3,16279
"Iban","Papunesia",23,0,9,0,5,3,8,4,0,0,5,9,0,110,5,22,8,3,35,4,19,0,0,0,9,15,19,3,8,6,54,0,6,8,19881
"Icelandic","Eurasia",26,21,12,0,10,0,38,41,21,9,24,17,6,340,0,196,31,10,27,0,0,0,0,11,30,9,15,20,16,0,41,0,47,8,39898
"Icelandic","Eurasia",14,2,5,0,3,0,7,26,13,0,5,4,2,147,0,94,18,3,3,0,0,0,2,6,12,0,5,2,6,0,12,0,17,4,14421
"Icelandic","Eurasia",30,20,13,0,13,0,41,35,22,0,27,14,9,338,0,224,32,10,26,0,0,0,0,15,31,10,14,23,15,0,46,0,40,8,39972
"French","Eurasia",25,6,12,0,6,0,36,21,6,0,10,35,0,59,6,53,7,0,10,0,9,0,9,13,13,8,0,0,0,0,17,0,15,7,23772
"Indonesian","Papunesia",19,4,7,6,11,15,31,40,0,0,14,0,11,54,0,8,0,0,30,5,19,0,0,4,11,6,27,0,22,0,68,4,28,8,13098
"Indonesian","Papunesia",19,4,7,6,11,15,31,41,0,3,14,0,13,54,0,8,0,0,30,5,19,0,4,4,11,6,27,0,22,0,70,4,29,8,13578
"Japanese","Eurasia",11,4,4,0,11,5,17,30,0,9,7,8,0,35,0,15,7,3,28,0,4,0,3,6,5,12,8,4,5,0,22,2,10,8,11382
"Irish","Eurasia",95,0,9,0,0,0,50,27,23,0,19,22,0,131,12,41,4,0,0,0,0,0,8,0,9,0,0,6,0,0,32,6,26,5,16855
"Irish","Eurasia",90,0,16,0,37,9,85,39,18,0,35,43,16,372,14,60,31,0,24,0,27,0,0,27,20,12,44,18,28,0,73,9,96,39,40576
"Irish","Eurasia",93,0,9,0,0,0,51,27,25,0,18,22,0,136,12,41,4,0,3,0,0,0,9,0,9,0,0,6,0,0,32,6,25,5,16983
"Irish","Eurasia",107,0,8,0,0,0,45,18,18,0,17,17,0,121,11,30,3,0,3,0,0,0,5,0,4,0,0,5,0,0,26,0,27,4,14213
"Irish","Eurasia",90,0,5,0,0,0,35,15,13,0,13,18,0,101,7,33,0,0,0,0,0,0,4,0,4,0,0,4,0,0,21,0,17,0,11347
"Irish","Eurasia",109,0,8,0,0,0,45,23,24,0,15,23,0,128,11,35,0,0,3,0,0,0,4,0,5,0,0,6,0,0,30,0,24,5,15023
"Irish","Eurasia",94,0,9,0,0,0,51,26,26,0,19,21,0,134,12,40,4,0,0,0,0,0,8,0,8,0,0,6,0,0,31,6,26,5,16875
"Italian","Eurasia",13,0,10,0,0,0,43,14,16,0,5,25,9,57,5,38,7,0,17,0,6,0,5,11,7,9,7,5,11,0,73,11,29,5,18628
"Oraon","Eurasia",13,2,0,0,0,3,5,23,0,4,0,6,0,36,0,13,0,4,6,0,2,0,0,4,6,8,7,0,4,8,22,0,79,6,14134
"Welsh","Eurasia",3,0,0,0,0,0,17,8,2,0,3,9,0,0,3,22,2,0,11,0,0,0,0,0,11,0,0,0,0,0,27,0,1,1,6274
"Welsh","Eurasia",36,8,5,0,0,3,23,14,0,0,21,22,6,64,4,39,19,10,12,0,0,0,0,4,15,4,0,0,3,0,43,0,30,0,16301
"Standard Malay","Eurasia",4,4,4,4,7,0,7,5,0,0,0,3,0,18,5,6,0,0,4,0,12,0,0,5,7,0,15,0,6,2,35,0,11,8,8309
"Standard Malay","Eurasia",4,4,4,4,8,0,7,4,0,0,0,3,0,17,5,6,0,0,4,0,12,0,0,5,7,0,15,0,6,0,35,0,11,8,8303
"Japanese","Eurasia",24,0,0,0,45,0,37,38,12,11,32,34,0,121,0,58,16,12,32,0,0,0,12,27,12,36,12,14,21,0,58,0,36,33,42709
"Standard Malay","Eurasia",9,10,0,0,7,0,12,2,0,0,0,9,6,27,0,11,4,0,14,0,15,0,6,5,2,6,8,0,3,2,33,4,13,5,10414
"Uighur","Eurasia",18,5,0,0,9,12,10,71,0,0,18,7,13,64,5,13,13,0,19,16,20,0,6,8,10,15,13,11,12,0,47,0,32,14,19700
"Latin","Eurasia",6,0,0,2,9,2,10,12,4,3,4,3,2,13,6,15,2,4,11,0,0,0,0,9,11,4,2,2,7,0,25,0,27,0,6591
"Latin","Eurasia",6,0,0,2,9,2,10,12,4,3,4,3,2,13,7,15,2,4,11,0,0,0,0,9,11,3,2,2,7,0,25,0,27,0,6660
"Mandarin Chinese","Eurasia",15,3,6,0,8,3,15,38,12,0,12,5,4,64,0,6,14,5,22,0,11,0,0,0,4,16,10,9,13,0,28,0,24,12,12160
"German","Eurasia",18,0,4,4,0,0,5,13,2,0,4,6,3,29,3,7,6,0,13,0,7,0,8,4,5,3,4,0,3,2,16,0,12,0,7459
"French","Eurasia",11,5,0,3,3,0,9,5,0,0,4,5,0,11,4,17,5,0,0,0,7,0,8,9,8,4,6,0,0,0,8,0,0,0,9825
"French","Eurasia",9,5,5,0,3,3,20,8,0,0,3,16,0,21,7,17,5,0,0,0,0,0,3,7,5,0,8,0,3,0,13,0,21,5,8939
"French","Eurasia",9,5,6,0,3,4,16,9,0,0,0,14,0,18,6,15,5,0,0,0,0,0,3,9,6,0,8,0,3,0,12,0,19,5,9008
"Spanish","Eurasia",7,0,0,3,0,0,14,9,4,0,5,17,0,65,9,19,0,0,0,0,5,0,4,6,0,0,0,0,0,0,7,0,15,4,12406
"Spanish","Eurasia",6,0,0,0,0,0,13,8,0,0,5,18,0,62,7,17,0,0,0,0,4,0,4,5,3,0,0,0,0,0,7,0,14,0,11882
"Ukrainian","Eurasia",9,6,8,0,0,0,11,7,0,4,8,7,0,26,0,16,6,0,7,0,0,0,0,2,4,9,2,0,8,0,25,0,16,0,6459
"Portuguese","Eurasia",16,0,11,0,0,0,40,19,12,4,0,15,0,35,10,35,0,0,0,0,4,0,0,4,8,5,0,0,14,0,44,9,23,0,14005
"Latin","Eurasia",37,0,20,0,12,0,32,25,13,0,18,24,0,78,6,15,0,6,17,0,0,0,8,79,20,12,0,0,0,0,43,0,23,7,26939
"Spanish","Eurasia",24,0,0,0,18,9,23,18,9,0,17,38,0,106,0,38,13,0,13,0,0,0,24,0,17,12,26,0,10,0,53,0,36,0,32458
"Spanish","Eurasia",25,0,0,0,16,9,21,18,9,0,17,38,0,94,0,37,14,0,10,0,0,0,21,0,16,9,23,0,0,0,49,0,55,9,29651
"Spanish","Eurasia",24,0,0,0,18,9,23,19,9,0,14,41,0,101,0,34,13,0,11,0,0,0,23,0,15,10,26,0,0,0,54,0,36,0,31194
"French","Eurasia",16,7,6,0,5,5,24,18,0,0,8,19,0,41,8,22,0,0,0,0,0,0,0,11,10,6,12,0,4,0,16,5,33,5,15567
"French","Eurasia",19,8,6,0,6,0,28,20,0,0,8,18,0,38,7,28,0,0,0,0,4,0,0,10,10,5,11,0,4,0,16,5,31,8,16312
"German","Eurasia",15,0,5,0,0,0,11,8,0,0,8,6,4,18,8,14,8,0,7,0,4,0,0,9,14,5,14,0,0,0,21,0,10,0,10553
"Polish","Eurasia",4,0,0,0,9,3,5,9,4,0,2,9,0,40,2,10,0,0,3,0,4,0,0,5,12,0,0,0,0,7,8,0,28,0,6635
"Hindi","Eurasia",22,21,8,0,14,0,16,45,0,31,13,7,0,62,0,8,9,15,0,21,11,0,0,21,8,22,0,8,8,0,25,0,8,11,17078
