"langname","area","active","alert","attentive","enthusiastic","excited","interested","proud","happy","joyful","delighted","cheerful","lively","energetic","strong","confident","bold","daring","fearless","afraid","scared","nervous","jittery","irritable","hostile","guilty","ashamed","upset","distressed","frightened","shaky","angry","disgusted","sad","lonely","dictsize"
"Xhosa","Africa",13,6,1,0,9,4,19,7,12,0,0,5,5,48,0,8,3,2,6,1,11,0,0,6,6,3,7,7,4,1,17,4,6,2,6836
"Latin","Eurasia",59,7,9,0,0,0,22,42,7,6,0,27,12,189,0,19,18,0,20,0,0,0,0,52,71,10,0,6,0,0,50,0,22,0,33742
"Latin","Eurasia",48,0,16,0,21,0,18,56,15,15,28,44,15,141,21,45,9,0,25,0,9,0,0,56,49,0,0,11,15,0,49,0,30,7,39769
"Latin","Eurasia",66,0,14,6,22,0,16,35,12,0,20,23,0,104,0,25,0,0,25,0,0,0,0,46,34,14,10,0,0,0,22,0,27,0,31213
"Latin","Eurasia",51,0,12,0,24,0,21,48,9,0,23,32,0,114,0,25,8,0,31,0,10,0,0,62,33,20,13,0,0,0,27,0,23,0,41327
"Latin","Eurasia",67,7,11,0,15,0,16,49,9,7,13,42,14,184,0,27,18,0,25,0,0,0,7,55,72,14,0,0,0,0,60,0,20,8,39412
"Mandarin Chinese","Eurasia",6,8,4,3,8,0,9,23,3,2,3,7,4,45,3,9,8,5,7,8,7,0,0,5,6,5,6,6,6,0,20,2,10,6,8251
"Dakota","North America",16,1,0,0,6,0,15,2,0,0,3,1,1,33,0,1,0,0,15,3,5,0,3,3,0,13,3,4,8,1,61,0,19,0,7859
"French","Eurasia",0,0,0,0,2,0,24,0,0,0,0,0,0,2,0,18,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,4,2,10447
"Burmese","Eurasia",7,0,0,0,0,0,10,6,6,0,0,0,0,35,0,10,2,0,3,0,0,0,5,0,6,7,0,11,8,0,19,4,1,0,9937
"Kannada","Eurasia",26,0,8,0,12,0,57,79,14,18,7,0,4,123,0,12,5,5,37,0,0,0,0,18,11,18,0,36,10,0,62,6,11,4,26107
"Gujarati","Eurasia",12,0,3,0,5,4,9,11,4,0,8,13,0,50,4,21,0,0,3,0,4,0,0,8,11,0,4,0,0,0,0,2,8,0,10426
"Marathi","Eurasia",9,0,0,0,0,4,5,12,0,0,3,9,2,27,5,14,3,4,0,0,0,0,1,9,3,0,0,0,0,0,13,2,6,0,8228
"Marathi","Eurasia",23,0,9,0,10,4,9,17,6,0,7,28,0,40,14,23,7,0,5,0,0,0,0,10,8,0,5,5,0,0,10,0,12,0,13567
"Sanskrit","Eurasia",6,0,13,0,9,3,8,17,2,5,5,7,0,17,7,10,6,0,2,0,0,0,0,9,6,5,0,3,0,0,16,2,8,4,8781
"Eastern Armenian","Eurasia",15,2,4,0,8,0,5,4,3,2,2,7,0,26,2,8,4,2,0,0,0,0,3,6,2,0,2,0,0,0,5,0,3,0,5106
"Gujarati","Eurasia",32,0,8,0,8,0,12,46,4,10,0,15,4,59,5,23,8,4,7,0,0,0,0,8,6,10,0,18,7,0,23,5,8,0,13871
"Gujarati","Eurasia",31,0,11,0,8,0,14,39,6,9,0,17,4,55,5,27,7,5,4,0,0,0,0,8,5,11,0,12,8,0,19,6,9,0,13578
"Assamese","Eurasia",9,3,0,0,2,0,11,12,14,6,3,6,0,17,0,7,0,3,0,0,0,0,5,6,8,2,0,8,8,0,34,4,16,3,8848
"Hindi","Eurasia",35,5,20,0,6,0,25,42,6,30,8,0,6,54,6,11,0,10,16,0,0,0,0,11,5,16,0,25,14,0,48,8,12,8,15344
"Marathi","Eurasia",86,0,13,0,57,0,17,50,0,20,0,71,19,114,0,58,40,9,0,0,0,0,14,30,9,14,0,21,27,0,67,15,16,0,46343
"Irish","Eurasia",5,0,1,1,0,2,3,4,0,0,0,3,0,38,1,39,1,0,9,0,0,0,0,3,0,1,4,2,2,0,4,0,1,1,5097
"Kathmandu Valley Newari","Eurasia",4,2,3,0,6,3,8,9,5,3,5,0,0,33,0,4,0,2,8,0,6,0,0,0,2,6,7,0,10,0,11,3,15,2,9254
"Sanskrit","Eurasia",5,0,12,0,12,4,8,16,0,4,4,7,2,15,7,9,4,0,2,0,0,0,0,8,5,5,2,3,0,0,16,0,8,4,8275
"Malayalam","Eurasia",44,0,29,0,6,0,54,77,13,22,6,0,0,94,0,23,11,10,18,0,0,0,0,11,17,19,0,28,11,0,56,5,10,4,24296
"Gilit Mesopotamian Arabic","Eurasia",7,8,0,4,8,17,5,6,2,2,4,5,0,20,2,0,0,0,22,3,7,0,2,0,3,4,7,0,2,3,13,3,3,2,6604
"Standard Arabic","Eurasia",40,23,13,13,38,0,68,80,0,33,37,25,16,97,0,26,16,0,21,0,15,0,0,27,13,15,56,26,22,0,58,0,47,13,28947
"Moroccan Arabic","Africa",3,6,0,0,2,4,7,21,0,0,0,0,4,31,0,0,0,0,8,9,0,0,2,0,0,7,20,0,7,2,22,0,8,0,7244
