"location","year","Depressive disorders","Major depressive disorder","Dysthymia","Anxiety disorders","mn_pos","mn_neg","ratio","total"
"Saint Lucia",2017,3.14942382149,2.0948976,1.10212951305,4.91489682175,20,16,0.8,36
"Finland",2017,5.33686285331,3.22663104777,2.24282991656,3.76811995428,145.3,99.9,0.687543014452856,245.2
"Brunei",2017,2.70885441367,1.48725803798,1.25550158467,3.80017692256,85.84,81.36,0.947809878844362,167.2
"Bulgaria",2017,3.42200711271,2.10332859994,1.37893390276,3.98091150788,329.79,307.128941176471,0.931286397939509,636.918941176471
"Kyrgyzstan",2017,2.78662908991,1.76208685569,1.06964519314,2.47338103337,248,172,0.693548387096774,420
"Malta",2017,3.90475111146,2.06103620679,1.91448887588,5.43107037817,97,79,0.814432989690722,176
"Mongolia",2017,3.38500213411,2.31363288799,1.13310144034,2.5341198173,0,0,NA,0
"Dominica",2017,2.91743730407,1.86596807274,1.09344546746,4.79125196821,20,16,0.8,36
"Benin",2017,2.56378900785,1.79379774334,0.81601120121,2.64849014769,211.94696969697,130.931818181818,0.617757443614398,342.878787878788
"Serbia",2017,3.24302825273,2.12095574547,1.17823431251,3.70868327291,67.05,85.6,1.27665920954512,152.65
"Portugal",2017,5.31048875301,3.20152701761,2.23982620762,5.55749452214,183.96875,119.40625,0.649057244776627,303.375
"Panama",2017,2.72089687764,1.87297759432,0.886331638088,2.93234499306,210.277227722772,146.445544554455,0.696440342781806,356.722772277228
"Mexico",2017,2.80006415435,1.8397410266,1.00355211035,3.244483215,210.277227722772,146.445544554455,0.696440342781806,356.722772277228
"Guyana",2017,4.13408260924,3.27422787085,0.946164894325,4.60944761108,20,16,0.8,36
"Spain",2017,4.13446487714,2.58059912037,1.63430248651,5.4343211461,210.277227722772,146.445544554455,0.696440342781806,356.722772277228
"Slovakia",2017,2.98891553184,1.83303861595,1.20076287189,3.7680694369,34.9926203208556,24.1802406417112,0.691009716334384,59.1728609625668
"Vietnam",2017,3.03119721783,1.36090582521,1.72081301878,2.15088743887,158.875,138.083333333333,0.869131917125623,296.958333333333
"Malawi",2017,2.52637742379,1.72414043058,0.844644653083,3.30013162783,20,16,0.8,36
"Chad",2017,2.47541212248,1.80253887735,0.720651895324,2.47950406394,211.94696969697,130.931818181818,0.617757443614398,342.878787878788
"Slovenia",2017,3.73314257091,2.5638560392,1.23949818761,3.75854549102,46.9166666666667,33.8333333333333,0.72113676731794,80.75
"Sweden",2017,5.03312383738,3.33576570883,1.82047035236,5.36029005795,132.098507072433,91.3989994005331,0.691900320647957,223.497506472967
"Morocco",2017,5.54719200145,4.57817348309,1.12162113299,5.14206345997,271.964285714286,137.428571428571,0.505318450426789,409.392857142857
"Belarus",2017,5.02929389826,3.2135380449,1.94599256237,3.15126698309,124.952380952381,104,0.832317073170732,228.952380952381
"Nicaragua",2017,2.68590232197,1.92110811423,0.804037855632,2.89715589442,210.277227722772,146.445544554455,0.696440342781806,356.722772277228
"Somalia",2017,2.64467289979,1.89983896915,0.793306168964,3.12853338484,28.1,33.4,1.18861209964413,61.5
"Senegal",2017,2.53013608125,1.70200950513,0.873546882182,2.69399243484,211.94696969697,130.931818181818,0.617757443614398,342.878787878788
"Cote d'Ivoire",2017,2.49084218701,1.66584896425,0.869221232586,2.69197085345,211.94696969697,130.931818181818,0.617757443614398,342.878787878788
"Estonia",2017,5.02522253759,3.17756449024,1.98196751713,3.16292458819,195.045094898306,124.482500849473,0.638224206122061,319.527595747779
"The Gambia",2017,3.09649781915,2.3131732921,0.853628052397,2.73570261971,20,16,0.8,36
"Georgia",2017,3.36285834258,1.9757524919,1.4476034714,2.77572274042,46.5,29.5,0.634408602150538,76
"Switzerland",2017,4.31942520523,2.50101034783,1.90645670433,5.47002598414,211.94696969697,130.931818181818,0.617757443614398,342.878787878788
"Jordan",2017,3.31180769777,2.40709344096,0.962921233978,4.89147873753,271.964285714286,137.428571428571,0.505318450426789,409.392857142857
"Honduras",2017,2.37739881775,1.6731572523,0.738934780808,2.77605208954,210.277227722772,146.445544554455,0.696440342781806,356.722772277228
"Belgium",2017,4.65847729225,3.03768832542,1.72124448688,5.27236382598,161.264502164502,108.115584415584,0.670423949253868,269.380086580087
"United Kingdom",2017,4.61743206443,2.87749631496,1.83784327124,4.70224049945,20,16,0.8,36
"Oman",2017,3.57175072771,2.61255023856,1.02070162542,4.8317615318,271.964285714286,137.428571428571,0.505318450426789,409.392857142857
