Country,Cultural Cluster,Population,AD,MDD,Total,AD%,MDD%
Malaysia,SE Asia,30639827,181603.72,819252.92,191.32,2.67,0.59
Vietnam,Confucian Asia,96140732,360120.8,1879651,264.54,1.96,0.37
Estonia,Nordic Europe,1314543,5787.14,58350.5,212.01,4.44,0.44
Niger,African,21375945,101992.52,474628.94,160.2,2.22,0.48
