id,year,title,langname,gcode,area,langfamily,affiliation,longitude,latitude
mdp.39076006801349,1969,"Cassell's new compact Spanish-English, English-Spanish dictionary. Compiled by Brian Dutton, L. P. Harvey [and] Roger M. Walker.",Spanish,stan1288,Eurasia,Indo-European,"Indo-European,Italic,Latino-Faliscan,Latinic,Imperial Latin,Romance,Italo-Western Romance,Western Romance,Shifted Western Romance,Southwestern Shifted Romance,West Ibero-Romance,Castilic",-1.11788,40.4414
mdp.39015012891506,1985,Cassell's New English-Croatian and Croatian-English dictionary / by F.A. Bogadek.,Serbian-Croatian-Bosnian,sout1528,Eurasia,Indo-European,"Indo-European,Balto-Slavic,Slavic,South Slavic,Western South Slavic",18.81,44.15
umn.31951000945943j,1962,"Cassell's new French-English, English-French dictionary. : Completely rev. by Denis Girard, with the assistance of Gaston Dulong [and others].",French,stan1290,Eurasia,Indo-European,"Indo-European,Italic,Latino-Faliscan,Latinic,Imperial Latin,Romance,Italo-Western Romance,Western Romance,Shifted Western Romance,Northwestern Shifted Romance,Gallo-Rhaetian,Oil,Central Oil,Macro-French,Global French",2,48
mdp.39015003632513,1930,"Cassell's new French-English, English-French dictionary, with key to pronunciations and an appendix of proper names, weights and measures, etc; edited by Ernest A. Baker. With an introduction by Frank H. Vizetelly.",French,stan1290,Eurasia,Indo-European,"Indo-European,Italic,Latino-Faliscan,Latinic,Imperial Latin,Romance,Italo-Western Romance,Western Romance,Shifted Western Romance,Northwestern Shifted Romance,Gallo-Rhaetian,Oil,Central Oil,Macro-French,Global French",2,48
mdp.39015016642137,1939,"Cassell's new German and English dictionary, with a phonetic key to pronunciation / by Karl Breul.",German,stan1295,Eurasia,Indo-European,"Indo-European,Germanic,Northwest Germanic,West Germanic,High German,Upper German,Middle-Modern High German,Modern High German,Upper Franconian,Global German",12.4676,48.649
uc1.b5138877,1906,Cassell's new German dictionary : in two parts : German-English--English-German / by Elizabeth Weir.,German,stan1295,Eurasia,Indo-European,"Indo-European,Germanic,Northwest Germanic,West Germanic,High German,Upper German,Middle-Modern High German,Modern High German,Upper Franconian,Global German",12.4676,48.649
mdp.39015004376433,1959,"Cassell's new Latin dictionary: Latin-English, English-Latin by D. P. Simpson",Latin,lati1261,Eurasia,Indo-European,"Indo-European,Italic,Latino-Faliscan,Latinic,Imperial Latin",12.4502,41.9026
mdp.39015016319165,1960,"Cassell's Spanish dictionary: Spanish-English, English-Spanish. Edited by Edgar Allison Peers [and others]",Spanish,stan1288,Eurasia,Indo-European,"Indo-European,Italic,Latino-Faliscan,Latinic,Imperial Latin,Romance,Italo-Western Romance,Western Romance,Shifted Western Romance,Southwestern Shifted Romance,West Ibero-Romance,Castilic",-1.11788,40.4414
txu.059173007523872,1978,"Cassell's Spanish-English, English-Spanish dictionary = Diccionario español-inglés, inglés-español.",Spanish,stan1288,Eurasia,Indo-European,"Indo-European,Italic,Latino-Faliscan,Latinic,Imperial Latin,Romance,Italo-Western Romance,Western Romance,Shifted Western Romance,Southwestern Shifted Romance,West Ibero-Romance,Castilic",-1.11788,40.4414
mdp.39015046447465,1988,Cebuano-English dictionary.,Cebuano,cebu1242,Papunesia,Austronesian,"Austronesian,Malayo-Polynesian,Greater Central Philippine,Central Philippine,Bisayan",124.367,8.38799
mdp.39015022925062,1974,Cebuano-English dictionary / John Ruyter.,Cebuano,cebu1242,Papunesia,Austronesian,"Austronesian,Malayo-Polynesian,Greater Central Philippine,Central Philippine,Bisayan",124.367,8.38799
mdp.39015055155702,1961,"Century dictionary, Bengali to English / by Subal Ch. Mitra.",Bengali,beng1280,Eurasia,Indo-European,"Indo-European,Indo-Iranian,Indo-Aryan,Indo-Aryan Easternzone,Oriya-Gauda-Kamrupa,Gauda-Kamrupa,Gauda-Banga",90,24
mdp.39015046835909,1988,Cervantes-Walls Spanish and English dictionary : Spanish-English/English-Spanish : dictionary / compiled by José Ramos Cervantes and Alfonso Vasseur Walls.,Spanish,stan1288,Eurasia,Indo-European,"Indo-European,Italic,Latino-Faliscan,Latinic,Imperial Latin,Romance,Italo-Western Romance,Western Romance,Shifted Western Romance,Southwestern Shifted Romance,West Ibero-Romance,Castilic",-1.11788,40.4414
inu.30000110417031,2006,"Chambers English-Hindi dictionary = / edited by Suresh Awasthi, Induja Awasthi = Caimbarsa Aṅgrezī-Hindī kośa / sampādaka, Sureśa Avasthī, Indujā Avasthī.",Hindi,hind1269,Eurasia,Indo-European,"Indo-European,Indo-Iranian,Indo-Aryan,Indo-Aryan Centralzone,Subcontinental Central Indo-Aryan,Western Hindi,Hindustani",77,25
mdp.39015061183292,1976,Chambers Murray Latin-English dictionary / by Sir William Smith and Sir John Lockwood.,Latin,lati1261,Eurasia,Indo-European,"Indo-European,Italic,Latino-Faliscan,Latinic,Imperial Latin",12.4502,41.9026
mdp.39015015353066,1975,"Chamorro-English dictionary / Donald M. Topping, Pedro M. Ogo, Bernardita C. Dungca.",Chamorro,cham1312,Papunesia,Austronesian,"Austronesian,Malayo-Polynesian",144.74474,13.438011
mdp.39015052548701,2003,"Chang-English, English-Chang dictionary / compiled & edited by Achilla Imlong Erdican.",Chang,chan1308,Eurasia,Austroasiatic,"Austroasiatic,Katuic,West Katuic,Kuy-Souei,Kuy",NA,NA
mdp.39015041853022,1984,Chang yong Han Ying ci dian = An everyday Chinese-English dictionary,Mandarin Chinese,mand1415,Eurasia,Sino-Tibetan,"Sino-Tibetan,Sinitic,Classical-Middle-Modern Sinitic,Middle-Modern Sinitic,Northern Chinese,Mandarinic",116.228,40.0209
uva.x006003849,1923,Chekrezi's English-Albanian dictionary : Fjalor Inglisht-shqip / e punoj C. A. Chekrezi.,Northern Tosk Albanian,tosk1239,Eurasia,Indo-European,"Indo-European,Albanian,Albanian-Tosk",20,41
mdp.39015066417372,1975,"Cherokee-English dictionary / Durbin Feeling ; edited by William Pulte, in collaboration with Agnes Cowen and the Dictionary Committee.",Cherokee,cher1273,North America,Iroquoian,Iroquoian,276.837,35.4664
hvd.hy7wsb,1893,Chinese and English dictionary compiled from reliable authors.,Mandarin Chinese,mand1415,Eurasia,Sino-Tibetan,"Sino-Tibetan,Sinitic,Classical-Middle-Modern Sinitic,Middle-Modern Sinitic,Northern Chinese,Mandarinic",116.228,40.0209
uc1.$b699521,1843,"Chinese and English dictionary, containing all the words in the Chinese imperial dictionary; arranged according to the radicals._v.1",Mandarin Chinese,mand1415,Eurasia,Sino-Tibetan,"Sino-Tibetan,Sinitic,Classical-Middle-Modern Sinitic,Middle-Modern Sinitic,Northern Chinese,Mandarinic",116.228,40.0209
aeu.ark+=13960=t2892j047,1909,Chinese and English phrase book and dictionary,Mandarin Chinese,mand1415,Eurasia,Sino-Tibetan,"Sino-Tibetan,Sinitic,Classical-Middle-Modern Sinitic,Middle-Modern Sinitic,Northern Chinese,Mandarinic",116.228,40.0209
uc1.32106020438351,1963,Chinese-English dictionary._pt.1,Mandarin Chinese,mand1415,Eurasia,Sino-Tibetan,"Sino-Tibetan,Sinitic,Classical-Middle-Modern Sinitic,Middle-Modern Sinitic,Northern Chinese,Mandarinic",116.228,40.0209
