Country,Language,Percentage
Uganda,English,100
Ukraine,Ukrainian,67.5
Ukraine,Russian,29.6
United Arab Emirates,Arabic,100
United Kingdom,English,100
United States,English,79
United States,Spanish,13
Uruguay,Spanish,100
Uzbekistan,Uzbek,74.3
Uzbekistan,Russian,14.2
Vanuatu,,
Venezuela,Spanish,100
Vietnam,Vietnamese,100
Virgin Islands,English,71.6
Virgin Islands,Spanish,17.2
Wallis and Futuna,Wallisian,58.9
Wallis and Futuna,Futunian,30.1
West Bank,,
Western Sahara,,
Yemen,Arabic,100
Zambia,,
Zimbabwe,Shona,100
